rule_name,rule_categories,rule_source,coverage,inspection_ids,inspection_names,inspection_severities,analysis_constructor,implementation,fixtures,test_spec,test_cases,gap_class,divergence_or_reason
ReadOnlySpend,PERFORMANCE;SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/ReadOnlySpend.md,narrower,PLU-STAN-27,Input spent only to be recreated identically,Performance,SpendAndRecreateInsteadOfReferenceInput,src/Stan/Analysis/Analyser.hs:analyseSpendAndRecreateInsteadOfReferenceInput,target/Target/PlutusTx.hs,plustan27Spec,3,scope-limited,"Requires all four field accessors plus txInInfoResolved, so a three-field identical recreation is not flagged."
ValidityRangeBound,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/ValidityRangeBound.md,adjacent,PLU-STAN-12,Validity interval / POSIX time misuse,Warning,ValidityIntervalMisuse,src/Stan/Analysis/Analyser.hs:analyseValidityIntervalMisuse,target/Target/PlutusTx.hs,plustan12Spec,13,needs-new-analysis,"The rule requires the ABSENCE of a range-length bound, (upper - lower) <= max. PLU-STAN-12 does no arithmetic or comparison analysis at all; it uses a proxy, isFiniteCheckNode, which needs a case/let mentioning lowerBound/upperBound AND LowerBound/UpperBound AND Finite. GAP: a validator that destructures both bounds and matches Finite but imposes no maximum duration is silent -- exactly the rule's target. PRECISION: ivFrom/ivTo, the spelling the rule's own examples use, appear 0 times in the analyser, so code written that way fails the proxy and is flagged whether or not it bounds the duration."
DatumComparisonOptimization,PERFORMANCE,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/DatumComparisonOptimization.md,adjacent,PLU-STAN-02,PlutusTx.UnsafeFromData unsafeFromBuiltinData,Performance,FindAst,src/Stan/Inspection/AntiPattern.hs (declarative FindAst pattern),target/Target/PlutusTx.hs,plustan02Spec,1,name-coverage,"The rule targets the shape 'case fromBuiltinData d of Just (Ctor fs) -> field comparisons', recommending 'd == toBuiltinData expected'. PLU-STAN-02 is a bare NameMeta match on unsafeFromBuiltinData. GAP BOTH WAYS: fromBuiltinData (the rule's primary spelling) is not matched and toBuiltinData appears 0 times, so neither the flagged shape nor the recommended one is recognised; conversely PLU-STAN-02 fires on every unsafeFromBuiltinData use whether or not a comparison follows. It measures decode cost, not the upcast-then-compare shape."
PartialUnvalidatedDatum,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/PartialUnvalidatedDatum.md,adjacent,PLU-STAN-19,TxOut validation misses datum checks,Warning,MissingTxOutDatumCheck,src/Stan/Analysis/Analyser.hs:analyseMissingTxOutDatumCheck,target/Target/PlutusTx.hs,plustan19Spec,12,disjoint,Disjoint rather than narrower. The rule fires when the datum IS extracted and SOME fields are validated but not all. PLU-STAN-19 fires only when the datum is untouched (no txOutDatum/OutputDatum/getDatumData token) and >=3 other fields are checked. Validating 2 of 5 datum fields sets txOutFieldDatumChecked = True and silences PLU-STAN-19 -- so satisfying PLU-STAN-19 is precisely what triggers the rule. The rule's entire target set is invisible.
IncompleteTokenValidation,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/IncompleteTokenValidation.md,adjacent,PLU-STAN-09;PLU-STAN-11,valueOf in boolean conditions;currencySymbolValueOf usage,Warning;Warning,ValueOfInComparison;CurrencySymbolValueOfOnMintedValue,src/Stan/Analysis/Analyser.hs:analyseValueOfInComparison;src/Stan/Analysis/Analyser.hs:analyseCurrencySymbolValueOfOnMintedValue,target/Target/PlutusTx.hs,plustan09Spec;plustan11Spec,5;7,name-coverage,"The rule's pattern is a fold over flattenValue (txInfoMint ...) whose (symbol, name, quantity) tuple leaves a component as a wildcard. flattenValue appears 0 times in the analyser and nothing inspects tuple patterns for wildcard components. PLU-STAN-09/-11 catch a different incomplete-value idiom (valueOf in comparisons; currencySymbolValueOf on minted value). Same concern, different code shape."
StrictValueEquality,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/StrictValueEquality.md,adjacent,PLU-STAN-09;PLU-STAN-15,valueOf in boolean conditions;TxOut validation misses value checks,Warning;Warning,ValueOfInComparison;MissingTxOutValueCheck,src/Stan/Analysis/Analyser.hs:analyseValueOfInComparison;src/Stan/Analysis/Analyser.hs:analyseMissingTxOutValueCheck,target/Target/PlutusTx.hs,plustan09Spec;plustan15Spec,5;11,disjoint,"Opposite polarity. The rule fires on an over-strict PRESENCE -- lovelaceValueOf (txOutValue x) == y, which can make a validator unsatisfiable under min-ADA or collateral change -- whereas PLU-STAN-15 fires on the ABSENCE of a value constraint. lovelaceValueOf appears 0 times in the analyser, so PLU-STAN-09 cannot match the rule's one-line pattern either."
UnvalidatedInputIndex,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/UnvalidatedInputIndex.md,adjacent,PLU-STAN-17,Redeemer-supplied indices must be unique,Warning,RedeemerSuppliedIndicesUniqueness,src/Stan/Analysis/Analyser.hs:analyseRedeemerSuppliedIndicesUniqueness,target/Target/PlutusTx.hs,plustan17Spec,13,remediation-mismatch,"The triggers nearly coincide -- both start from a redeemer-derived index into txInfoInputs, and PLU-STAN-17 already has subtreeHasIndexingCall plus redeemerDecodeIndicators -- but the remediation each demands differs. The rule wants an NFT identity check on the selected input, valueOf (txOutValue (txInInfoResolved v)) cs tn >= 1, i.e. 'is this the RIGHT input?'. PLU-STAN-17 wants index UNIQUENESS. A validator that enforces uniqueness satisfies PLU-STAN-17 while still trusting an unverified input. PLU-STAN-17's counter-evidence is also a source comment ('plutstan uniqueness enforced'), so it can be silenced with no code change at all."
ListUniqueness,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/ListUniqueness.md,adjacent,PLU-STAN-17,Redeemer-supplied indices must be unique,Warning,RedeemerSuppliedIndicesUniqueness,src/Stan/Analysis/Analyser.hs:analyseRedeemerSuppliedIndicesUniqueness,target/Target/PlutusTx.hs,plustan17Spec,13,disjoint,"Effectively uncovered. The rule wants 'xs == nub xs' (or 'length xs == length (nub xs)') on lists of identity types -- PubKeyHash, ValidatorHash, Address, Credential -- whereas PLU-STAN-17 concerns redeemer-supplied indices, not credential lists. No uniqueness detection exists: the analyser's only nub references belong to STAN-0209, which flags nub as SLOW, so implementing this rule would put two inspections in direct opposition on the same code. A signer list with duplicates, amplifying a compromised key, is invisible today."
HelperFunctions,CODE-QUALITY;PERFORMANCE,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/HelperFunctions.md,adjacent,PLU-STAN-05,Higher-order helpers in on-chain code,Performance,FindAst,src/Stan/Inspection/AntiPattern.hs (declarative FindAst pattern),target/Target/PlutusTx.hs,plustan05Spec,1,disjoint,"Disjoint. PLU-STAN-05 matches calls to LIBRARY higher-order functions (all/any/find/filter/foldl/foldr/elem/traverse_ from PlutusTx.Prelude, .List and .Foldable). The rule targets USER-DEFINED trivial wrappers -- 'f x = g x', or a helper that only pattern-matches. The rule's own invalid example, 'isAdmin pkh info = txSignedBy info pkh', contains no higher-order call, so PLU-STAN-05 cannot see it. Shared theme (inlining overhead), nothing else."
NoBurningLogic,CODE-QUALITY;SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/NoBurningLogic.md,none,,,,,,,,,blocked,"Implemented in open PR #39 as PLU-STAN-20, not merged: 20 of its own tests fail on its base and it carries 61 hlint hints. It does solve the (currencySymbol, tokenName) pairing that makes this rule hard."
ImmutableCredential,CODE-QUALITY;SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/ImmutableCredential.md,direct,PLU-STAN-21,Immutable credentials baked into validators,Warning,ImmutableCredential,src/Stan/Analysis/Analyser.hs:analyseImmutableCredential,target/Target/PlutusTx.hs,plustan21Spec,14,,"Covers both patterns the rule specifies: top-level credential constants, and credentials specialised into compiled code via applyCode/unsafeApplyCode/liftCode. Also filters to validator-reachable bindings, so an unused top-level credential is not flagged."
DoubleSatisfaction,SECURITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/DoubleSatisfaction.md,none,,,,,,,,,deferred,"Deferred: proving the ABSENCE of uniqueness attribution is not tractable, and legitimate value aggregation over filtered outputs is common, so a shape-only rule would be noise."
FixedStructureMap,CODE-QUALITY,https://github.com/input-output-hk/Cardano-CWE-Research/blob/main/rules/FixedStructureMap.md,none,,,,,,,,,spec-incomplete,"Held: detection is trivial ('member <string> (<field> <datum>)') but the rule does not say when a fixed map key is a defect, so there is no criterion to implement."
,,,tool-only,PLU-STAN-01,Signature verification builtin usage must satisfy invariants,Warning,FindAst,src/Stan/Inspection/AntiPattern.hs (declarative FindAst pattern),target/Target/PlutusTx.hs,plustan01Spec,3,tool-only,No corresponding rule in Cardano-CWE-Research
,,,tool-only,PLU-STAN-03,No usage of Optional types in on-chain code,Warning,FindAst,src/Stan/Inspection/AntiPattern.hs (declarative FindAst pattern),target/Target/PlutusTx.hs,plustan03Spec,1,tool-only,No corresponding rule in Cardano-CWE-Research
,,,tool-only,PLU-STAN-06,Multiple list traversals in on-chain code,Performance,FindAst,src/Stan/Inspection/AntiPattern.hs (declarative FindAst pattern),target/Target/PlutusTx.hs,plustan06Spec,1,tool-only,No corresponding rule in Cardano-CWE-Research
,,,tool-only,PLU-STAN-07,Guard syntax in on-chain code,Performance,FindAst,src/Stan/Inspection/AntiPattern.hs (declarative FindAst pattern),target/Target/PlutusTx.hs,plustan07Spec,1,tool-only,No corresponding rule in Cardano-CWE-Research
,,,tool-only,PLU-STAN-08,Non-strict let binding used multiple times,Performance,NonStrictLetMultiUse,src/Stan/Analysis/Analyser.hs:analyseNonStrictLetMultiUse,target/Target/PlutusTx.hs,plustan08Spec,13,tool-only,No corresponding rule in Cardano-CWE-Research
,,,tool-only,PLU-STAN-10,Unvalidated hashes from BuiltinData in equality comparisons,Warning,UnsafeFromBuiltinDataInHashComparison,src/Stan/Analysis/Analyser.hs:analyseUnsafeFromBuiltinDataInHashComparison,target/Target/PlutusTx.hs,plustan10Spec,8,tool-only,No corresponding rule in Cardano-CWE-Research
,,,tool-only,PLU-STAN-18,Avoid lazy (&&) in on-chain code,Warning,LazyAndInOnChainCode,src/Stan/Analysis/Analyser.hs:analyseLazyAndInOnChainCode,target/Target/PlutusTx.hs,plustan18Spec,7,tool-only,No corresponding rule in Cardano-CWE-Research
